t,mode,battery_lvl,eclipse
92.0,SUN_POINTING,58.5,True
93.0,SUN_POINTING,58.2,True
94.0,SUN_POINTING,57.9,True
95.0,SUN_POINTING,57.6,True
96.0,SUN_POINTING,57.3,True
97.0,SUN_POINTING,57.0,True
98.0,SUN_POINTING,56.7,True
99.0,SUN_POINTING,56.4,True
100.0,SUN_POINTING,56.1,True
101.0,SUN_POINTING,55.8,True
102.0,SUN_POINTING,55.5,True
103.0,SUN_POINTING,55.2,True
104.0,SUN_POINTING,54.9,True
105.0,SUN_POINTING,54.6,True
106.0,SUN_POINTING,54.3,True
107.0,SUN_POINTING,54.0,True
108.0,SUN_POINTING,53.7,True
109.0,SUN_POINTING,53.4,True
110.0,SUN_POINTING,53.1,True
111.0,SUN_POINTING,52.8,True
112.0,SUN_POINTING,52.5,True
113.0,SUN_POINTING,52.2,True
114.0,SUN_POINTING,51.9,True
115.0,SUN_POINTING,51.6,True
116.0,SUN_POINTING,51.3,True
117.0,SUN_POINTING,51.0,True
118.0,SUN_POINTING,50.7,True
119.0,SUN_POINTING,50.4,True
120.0,SUN_POINTING,20.1,True
121.0,SAFE,19.8,True
122.0,SUN_POINTING,20.3,False
123.0,SUN_POINTING,20.8,False
124.0,SUN_POINTING,21.3,False
125.0,SUN_POINTING,21.8,False
126.0,SUN_POINTING,22.3,False
127.0,SUN_POINTING,22.8,False
128.0,SUN_POINTING,23.3,False
129.0,SUN_POINTING,23.8,False
130.0,SUN_POINTING,24.3,False
131.0,SUN_POINTING,24.8,False
132.0,SUN_POINTING,25.3,False
133.0,SUN_POINTING,25.8,False
134.0,SUN_POINTING,26.3,False
135.0,SUN_POINTING,26.8,False
136.0,SUN_POINTING,27.3,False
137.0,SUN_POINTING,27.8,False
138.0,SUN_POINTING,28.3,False
139.0,SUN_POINTING,28.8,False
140.0,SUN_POINTING,29.3,False
141.0,SUN_POINTING,29.8,False
142.0,SUN_POINTING,30.3,False
143.0,SUN_POINTING,30.8,False
144.0,SUN_POINTING,31.3,False
145.0,SUN_POINTING,31.8,False
146.0,SUN_POINTING,32.3,False
147.0,SUN_POINTING,32.8,False
148.0,SUN_POINTING,33.3,False
149.0,SUN_POINTING,33.8,False
150.0,SUN_POINTING,34.3,False
151.0,SUN_POINTING,34.8,False
152.0,SUN_POINTING,35.3,False
153.0,SUN_POINTING,35.8,False
154.0,SUN_POINTING,36.3,False
155.0,SUN_POINTING,36.8,False
156.0,SUN_POINTING,37.3,False
157.0,SUN_POINTING,37.8,False
158.0,SUN_POINTING,38.3,False
159.0,SUN_POINTING,38.8,False
160.0,SUN_POINTING,39.3,False
161.0,SUN_POINTING,39.8,False
162.0,SUN_POINTING,40.3,False
163.0,SUN_POINTING,40.8,False
164.0,SUN_POINTING,41.3,False
165.0,SUN_POINTING,41.8,False
166.0,SUN_POINTING,42.3,False
167.0,SUN_POINTING,42.8,False
168.0,SUN_POINTING,43.3,False
169.0,SUN_POINTING,43.8,False
170.0,SUN_POINTING,44.3,False
171.0,SUN_POINTING,44.8,False
172.0,SUN_POINTING,45.3,False
173.0,SUN_POINTING,45.8,False
174.0,SUN_POINTING,46.3,False
175.0,SUN_POINTING,46.8,False
176.0,SUN_POINTING,47.3,False
177.0,SUN_POINTING,47.8,False
178.0,SUN_POINTING,48.3,False
179.0,SUN_POINTING,48.8,False
180.0,SUN_POINTING,48.5,True
181.0,SUN_POINTING,48.2,True
182.0,SUN_POINTING,47.9,True
183.0,SUN_POINTING,47.6,True
184.0,SUN_POINTING,47.3,True
185.0,SUN_POINTING,47.0,True
186.0,SUN_POINTING,46.7,True
187.0,SUN_POINTING,46.4,True
188.0,SUN_POINTING,46.1,True
189.0,SUN_POINTING,45.8,True
190.0,SUN_POINTING,45.5,True
191.0,SUN_POINTING,45.2,True
192.0,SUN_POINTING,44.9,True
193.0,SUN_POINTING,44.6,True
194.0,SUN_POINTING,44.3,True
195.0,SUN_POINTING,44.0,True
196.0,SUN_POINTING,43.7,True
197.0,SUN_POINTING,43.4,True
198.0,SUN_POINTING,43.1,True
199.0,SUN_POINTING,42.8,True
200.0,SUN_POINTING,42.5,True
201.0,SUN_POINTING,42.2,True
202.0,SUN_POINTING,41.9,True
203.0,SUN_POINTING,41.6,True
204.0,SUN_POINTING,41.3,True
205.0,SUN_POINTING,41.0,True
206.0,SUN_POINTING,40.7,True
207.0,SUN_POINTING,40.4,True
208.0,SUN_POINTING,40.1,True
209.0,SUN_POINTING,39.8,True
210.0,SUN_POINTING,39.5,True
211.0,SUN_POINTING,39.2,True
212.0,SUN_POINTING,39.7,False
213.0,SUN_POINTING,40.2,False
214.0,SUN_POINTING,40.7,False
215.0,SUN_POINTING,41.2,False
216.0,SUN_POINTING,41.7,False
217.0,SUN_POINTING,42.2,False
218.0,SUN_POINTING,42.7,False
219.0,SUN_POINTING,43.2,False
220.0,SUN_POINTING,43.7,False
221.0,SUN_POINTING,44.2,False
222.0,SUN_POINTING,44.7,False
223.0,SUN_POINTING,45.2,False
224.0,SUN_POINTING,45.7,False
225.0,SUN_POINTING,46.2,False
226.0,SUN_POINTING,46.7,False
227.0,SUN_POINTING,47.2,False
228.0,SUN_POINTING,47.7,False
229.0,SUN_POINTING,48.2,False
230.0,SUN_POINTING,48.7,False
231.0,SUN_POINTING,49.2,False
232.0,SUN_POINTING,49.7,False
233.0,SUN_POINTING,50.2,False
234.0,SUN_POINTING,50.7,False
235.0,SUN_POINTING,51.2,False
236.0,SUN_POINTING,51.7,False
237.0,SUN_POINTING,52.2,False
238.0,SUN_POINTING,52.7,False
239.0,SUN_POINTING,53.2,False
240.0,SUN_POINTING,53.7,False
241.0,SUN_POINTING,54.2,False
242.0,SUN_POINTING,54.7,False
243.0,SUN_POINTING,55.2,False
244.0,SUN_POINTING,55.7,False
245.0,SUN_POINTING,56.2,False
246.0,SUN_POINTING,56.7,False
247.0,SUN_POINTING,57.2,False
248.0,SUN_POINTING,57.7,False
249.0,SUN_POINTING,58.2,False
250.0,SUN_POINTING,58.7,False
251.0,SUN_POINTING,59.2,False
252.0,SUN_POINTING,59.7,False
253.0,NOMINAL,60.2,False
254.0,NOMINAL,60.7,False
255.0,NOMINAL,61.2,False
256.0,NOMINAL,61.7,False
257.0,NOMINAL,62.2,False
258.0,NOMINAL,62.7,False
259.0,NOMINAL,63.2,False
260.0,NOMINAL,63.7,False
261.0,NOMINAL,64.2,False
262.0,NOMINAL,64.7,False
263.0,NOMINAL,65.2,False
264.0,NOMINAL,65.7,False
265.0,NOMINAL,66.2,False
266.0,NOMINAL,66.7,False
267.0,NOMINAL,67.2,False
268.0,NOMINAL,67.7,False
269.0,NOMINAL,68.2,False
270.0,SUN_POINTING,67.9,True
271.0,SUN_POINTING,67.6,True
272.0,SUN_POINTING,67.3,True
273.0,SUN_POINTING,67.0,True
274.0,SUN_POINTING,66.7,True
275.0,SUN_POINTING,66.4,True
276.0,SUN_POINTING,66.1,True
277.0,SUN_POINTING,65.8,True
278.0,SUN_POINTING,65.5,True
279.0,SUN_POINTING,65.2,True
280.0,SUN_POINTING,64.9,True
281.0,SUN_POINTING,64.6,True
282.0,SUN_POINTING,64.3,True
283.0,SUN_POINTING,64.0,True
284.0,SUN_POINTING,63.7,True
285.0,SUN_POINTING,63.4,True
286.0,SUN_POINTING,63.1,True
287.0,SUN_POINTING,62.8,True
288.0,SUN_POINTING,62.5,True
289.0,SUN_POINTING,62.2,True
290.0,SUN_POINTING,61.9,True
291.0,SUN_POINTING,61.6,True
292.0,SUN_POINTING,61.3,True
293.0,SUN_POINTING,61.0,True
294.0,SUN_POINTING,60.7,True
295.0,SUN_POINTING,60.4,True
296.0,SUN_POINTING,60.1,True
297.0,SUN_POINTING,59.8,True
298.0,SUN_POINTING,59.5,True
299.0,SUN_POINTING,59.2,True
300.0,SUN_POINTING,58.9,True
301.0,SUN_POINTING,58.6,True
302.0,SUN_POINTING,59.1,False
303.0,SUN_POINTING,59.6,False
304.0,NOMINAL,60.1,False
305.0,NOMINAL,60.6,False
306.0,NOMINAL,61.1,False
307.0,NOMINAL,61.6,False
308.0,NOMINAL,62.1,False
309.0,NOMINAL,62.6,False
310.0,NOMINAL,63.1,False
311.0,NOMINAL,63.6,False
312.0,NOMINAL,64.1,False
313.0,NOMINAL,64.6,False
314.0,NOMINAL,65.1,False
315.0,NOMINAL,65.6,False
316.0,NOMINAL,66.1,False
317.0,NOMINAL,66.6,False
318.0,NOMINAL,67.1,False
319.0,NOMINAL,67.6,False
320.0,NOMINAL,68.1,False
321.0,NOMINAL,68.6,False
322.0,NOMINAL,69.1,False
323.0,NOMINAL,69.6,False
324.0,NOMINAL,70.1,False
325.0,NOMINAL,70.6,False
326.0,NOMINAL,71.1,False
327.0,NOMINAL,71.6,False
328.0,NOMINAL,72.1,False
329.0,NOMINAL,72.6,False
330.0,NOMINAL,73.1,False
331.0,NOMINAL,73.6,False
332.0,NOMINAL,74.1,False
333.0,NOMINAL,74.6,False
334.0,NOMINAL,75.1,False
335.0,NOMINAL,75.6,False
336.0,NOMINAL,76.1,False
337.0,NOMINAL,76.6,False
338.0,NOMINAL,77.1,False
339.0,NOMINAL,77.6,False
340.0,NOMINAL,78.1,False
341.0,NOMINAL,78.6,False
342.0,NOMINAL,79.1,False
343.0,NOMINAL,79.6,False
344.0,NOMINAL,80.1,False
345.0,NOMINAL,80.6,False
346.0,NOMINAL,81.1,False
347.0,NOMINAL,81.6,False
348.0,NOMINAL,82.1,False
349.0,NOMINAL,82.6,False
350.0,NOMINAL,83.1,False
351.0,NOMINAL,83.6,False
352.0,NOMINAL,84.1,False
353.0,NOMINAL,84.6,False
354.0,NOMINAL,85.1,False
355.0,NOMINAL,85.6,False
356.0,NOMINAL,86.1,False
357.0,NOMINAL,86.6,False
358.0,NOMINAL,87.1,False
359.0,NOMINAL,87.6,False
